house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale,energy_certificate
15669,4.0,HOUSE,HOUSE,Lamine,4350,Rue des champs,7,,1.0,3.0,595000.0,0.0,1.0,63.0,0.0,0.0,GOOD,1.0,1100.0,0.0,1271.0,226.0,1271.0,UnderOption,A
15671,5.0,HOUSE,HOUSE,Ichtegem,8480,Vossebeekstraat,46,,0.0,4.0,598000.0,0.0,1.0,30.0,0.0,0.0,AS_NEW,1.0,583.0,0.0,583.0,583.0,583.0,,A++
15672,5.0,HOUSE,VILLA,SINT-PIETERS-LEEUW,1600,Petrus Huysegomsstraat,1B,,1.0,4.0,649000.0,0.0,0.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,0.0,1301.0,250.0,1301.0,UnderOption,C
15674,3.0,HOUSE,VILLA,Dilbeek,1700,Plankenstraat,125,,1.0,4.0,675000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,766.0,210.0,766.0,,B
15675,3.0,HOUSE,VILLA,Dilbeek,1701,Plankenstraat,125,,1.0,4.0,675000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,766.0,210.0,766.0,,B
15676,5.0,HOUSE,VILLA,Neupré,4121,Enclos aux Epines,25,,0.0,4.0,699000.0,0.0,1.0,73.0,0.0,0.0,,0.0,0.0,0.0,1263.0,276.0,1263.0,,D
15678,3.0,HOUSE,HOUSE,Ninove,9400,Eichemstraat,62,,1.0,4.0,750000.0,0.0,1.0,,0.0,0.0,GOOD,1.0,1.0,0.0,2981.0,295.0,2981.0,,C
15679,5.0,HOUSE,HOUSE,ANGLEUR,4031,,,,1.0,4.0,765000.0,0.0,1.0,19.0,0.0,0.0,GOOD,1.0,2500.0,0.0,3000.0,395.0,3000.0,,B
15681,4.0,HOUSE,VILLA,Overijse,3090,Tuindelle,71,,1.0,4.0,795000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1356.0,331.0,1356.0,,C
15682,4.0,HOUSE,HOUSE,Tintigny Lahage,6730,Rue du Gros-Cron,113,,1.0,4.0,849000.0,0.0,1.0,,0.0,0.0,GOOD,1.0,800.0,0.0,19983.0,170.0,19983.0,,C
15683,4.0,HOUSE,VILLA,HEIST-OP-DEN-BERG,2220,Schaliehoevestraat,125B,,1.0,4.0,895000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1628.0,440.0,1628.0,,A
15684,4.0,HOUSE,HOUSE,Borchtlombeek,1761,Natteweg,34,,1.0,4.0,949000.0,0.0,1.0,,0.0,0.0,AS_NEW,1.0,720.0,0.0,931.0,237.0,931.0,,A
